,placeid,name,displaylat,displaylon,geometry,lon,lat
0,1,Pertamina,-6.14516,106.89451,POINT (106.89451 -6.14516),106.89451,-6.14516
1,3,Pertamina,-6.202623,106.806137,POINT (106.806137 -6.202623),106.806137,-6.202623
2,4,Pertamina,-6.31114,106.77183,POINT (106.77183 -6.31114),106.77183,-6.31114
3,5,Mandiri Motor,-6.19781,106.76917,POINT (106.76917 -6.19781),106.76917,-6.19781
4,6,Green Nitrogen Spbu,-6.191526067,106.8282918,POINT (106.8282918 -6.191526067),106.8282918,-6.191526067
5,8,Pertamini Ekawati,-6.3504344,106.8197888,POINT (106.8197888 -6.3504344),106.8197888,-6.3504344
6,9,Pertamina,-6.15559,106.8071,POINT (106.8071 -6.15559),106.8071,-6.15559
7,11,Pertamina,-6.14315,106.88986,POINT (106.88986 -6.14315),106.88986,-6.14315
8,12,Abadi Jaya Motor,-6.26212,106.84361,POINT (106.84361 -6.26212),106.84361,-6.26212
9,13,Pertamina,-6.22523,106.841266,POINT (106.841266 -6.22523),106.841266,-6.22523
10,14,Pertamina,-6.2189,106.70686,POINT (106.70686 -6.2189),106.70686,-6.2189
11,15,Grha Pertamina,-6.177874747229239,106.83175,POINT (106.83175 -6.177874747229239),106.83175,-6.177874747229239
12,16,Pertamina,-6.166186665,106.793122954,POINT (106.793122954 -6.166186665),106.793122954,-6.166186665
13,17,Pertamina,-6.28845,106.93926,POINT (106.93926 -6.28845),106.93926,-6.28845
14,18,Pertamina,-6.23365,106.73667,POINT (106.73667 -6.23365),106.73667,-6.23365
15,19,Pertamina,-6.1932,106.89973,POINT (106.89973 -6.1932),106.89973,-6.1932
16,20,Pertamina,-6.32318,106.92371,POINT (106.92371 -6.32318),106.92371,-6.32318
17,21,Shell,-6.215172,106.879678,POINT (106.879678 -6.215172),106.879678,-6.215172
18,22,Pertamina,-6.372462,106.79032,POINT (106.79032 -6.372462),106.79032,-6.372462
19,23,Pertamina,-6.302653,106.858414,POINT (106.858414 -6.302653),106.858414,-6.302653
20,24,Pertamina,-6.149084,106.674226,POINT (106.674226 -6.149084),106.674226,-6.149084
21,25,Pertamina,-6.15295,106.81783,POINT (106.81783 -6.15295),106.81783,-6.15295
22,26,Pertamina,-6.10605899739296,106.74120172571786,POINT (106.74120172571786 -6.10605899739296),106.74120172571786,-6.10605899739296
23,28,Toko Nursaman,-6.315622445480492,106.92437370092989,POINT (106.92437370092989 -6.315622445480492),106.92437370092989,-6.315622445480492
24,29,Shell,-6.381051,106.830837,POINT (106.830837 -6.381051),106.830837,-6.381051
25,30,Pertamina,-6.16166,106.825932,POINT (106.825932 -6.16166),106.825932,-6.16166
26,31,Pertamina,-6.13672,106.89109,POINT (106.89109 -6.13672),106.89109,-6.13672
